Date,Value
1975-02-11,0.7438
1984-08-14,1.2862
1993-01-18,0.8091
2008-04-28,0.6393
1989-05-08,0.9045
2003-06-10,0.8559
1983-09-30,1.1726
1992-07-06,0.7257
1983-11-18,1.2032
1988-11-10,0.8457
2010-02-15,0.7355
2003-09-17,0.8898
2010-09-08,0.7846
2007-07-04,
2002-12-23,0.9739
1994-02-18,0.8767
1981-12-02,0.8949
2010-11-09,0.7188
1979-03-19,0.7058
2011-07-04,0.6891
1979-09-19,0.6878
1982-04-02,0.9885
1981-06-08,0.9374
2014-05-22,0.7323
1982-03-03,0.965
2006-07-10,0.785
1990-11-02,
2010-03-04,0.7348
1991-12-11,0.7611
1993-09-28,0.8399
1979-08-29,0.6949
2004-10-19,0.7989
1983-12-20,1.2339
1987-05-29,0.87
1994-03-18,0.8687
2006-04-07,0.8255
1975-09-17,0.8094
1988-10-24,0.8596
1997-06-16,0.8827
2001-12-13,1.1141
1988-05-18,0.8179
2001-06-07,
1978-01-19,0.7829
1993-08-04,0.8732
2007-08-02,0.7313
1997-09-26,0.8996
1980-02-11,0.6676
1979-11-23,0.6778
2015-11-20,0.9379
1989-04-14,0.8917
2012-02-10,0.7583
2012-08-01,0.8132
2000-03-30,1.0462
1998-02-09,0.9267
1977-02-15,0.8324
1998-09-16,0.8646
2005-04-08,0.7782
2014-08-07,0.749
1982-11-05,1.0919
2014-07-29,0.7457
1986-10-23,0.94
2011-08-31,0.6945
2014-03-17,0.718
1987-05-15,0.8501
1980-01-22,0.6664
2011-07-06,0.6991
1988-03-01,0.8087
1976-01-02,0.8093
2013-03-21,0.7737
2010-11-04,0.703
2012-12-12,0.7668
1982-03-25,0.9841
1997-06-25,0.879
2003-01-14,0.9442
1995-01-03,0.8048
1986-01-14,1.1352
2005-11-22,0.8536
2007-09-17,0.7211
1991-12-13,0.7623
1991-07-22,0.8389
1978-03-29,
1994-03-14,0.8644
2014-02-10,0.7327
2012-09-04,0.796
1991-08-08,0.8226
2006-11-22,0.7731
1980-02-21,0.671
2013-04-08,0.7682
1997-06-26,0.8819
2015-01-27,0.877
1984-08-10,1.2961
1990-01-08,0.8031
2011-11-17,0.74
1985-08-09,1.2885
2000-06-09,1.0516
1979-07-02,0.699
1984-01-12,1.267
1992-09-02,0.6712
2012-09-20,0.7721
1981-06-12,0.9341
1980-03-05,0.6851
1988-10-27,0.8538
1992-08-05,0.7091
1991-10-31,0.8025
1977-11-18,0.8141
2001-05-25,1.167
2006-03-03,
1987-09-22,0.8653
2000-03-21,1.0295
1978-01-24,0.7776
1996-03-15,0.7658
2002-08-20,1.025
1975-01-29,0.7429
2001-07-31,1.1435
2016-01-12,0.924
2003-05-19,
1986-02-20,1.0602
2002-07-04,1.0211
2002-06-07,1.0581
2002-07-26,1.0115
2005-08-08,0.8087
2004-02-20,0.7956
2005-08-11,0.8038
2013-02-08,0.7473
1993-08-24,0.8596
1987-10-21,0.8607
1999-01-15,0.863
1982-07-26,1.0124
2016-11-09,0.9134
2003-03-25,
2005-04-06,0.7783
2005-06-09,0.8201
2009-11-24,0.6689
2004-05-18,
2010-09-02,0.7795
1977-09-01,0.8297
1997-05-08,0.8731
1994-02-25,0.872
1975-12-08,0.8081
1998-03-10,0.9352
1989-01-26,0.88
2012-03-14,0.7678
1994-07-15,0.7981
1983-09-05,1.1873
1992-11-10,0.7887
1985-06-18,1.3665
1978-09-12,0.7381
1980-06-26,0.6794
1990-08-01,0.7566
1998-11-23,0.8713
1999-05-10,0.9259
1989-02-20,0.8803
1988-11-07,0.8578
2005-04-07,0.775
1985-07-12,1.3016
1986-10-29,
1990-09-10,0.7531
2003-05-29,0.8454
1987-08-19,0.8784
2004-10-28,0.7852
2003-03-19,0.9444
2008-02-29,0.6588
1984-07-18,1.2774
1980-04-16,0.7144
2017-01-12,0.9387
1983-05-20,1.0915
2017-06-28,0.88
1999-03-26,0.9316
1981-09-07,0.949
2012-10-10,0.7751
2001-10-23,
2014-09-04,0.7712
2005-07-15,0.8305
1992-09-08,0.6737
1994-10-19,0.773
2003-12-04,
1981-06-26,0.9325
1996-06-25,0.7852
1991-11-27,0.7771
1991-04-02,0.8055
1984-11-27,1.3662
1994-07-29,0.8156
1983-07-20,1.138
2017-02-14,0.9467
2006-12-08,0.751
2002-04-16,1.1326
1991-11-01,0.7966
2003-12-02,0.8275
1991-05-17,0.8256
1980-12-18,0.7663
1977-10-27,0.8188
1979-04-03,0.7104
2011-06-16,0.7071
2001-04-09,1.1089
1985-09-19,1.3219
1978-04-13,0.7526
1980-07-30,0.6804
1978-06-14,0.7698
2016-11-16,0.937
1978-03-28,0.7567
2015-03-25,0.9102
1985-07-03,1.3634
2013-10-22,0.7261
1988-01-19,0.8065
2001-09-18,1.0847
2011-12-20,0.7625
2015-11-23,0.9422
1988-05-06,0.8071
1979-02-21,0.7042
1979-07-30,0.6942
1983-03-01,1.0541
2000-04-04,1.0478
1976-06-09,0.8511
2016-02-05,0.8976
2002-04-24,1.1211
2011-12-08,0.7512
1995-09-05,0.7657
2012-08-01,0.8132
2014-09-09,0.7744
1994-06-28,0.8125
2009-10-27,0.6747
2015-10-23,0.9063
2008-10-24,0.7851
1991-03-07,0.7394
1999-03-23,0.9178
1988-09-12,0.8869
1993-05-10,0.8032
1990-06-12,0.8047
1994-10-12,0.7932
2002-06-28,1.0126
2006-12-21,0.7596
1981-01-30,0.8098
2008-11-04,0.771
2000-07-18,1.0727
1985-04-15,1.3558
1999-02-02,
2000-09-29,1.1329
1985-03-22,1.4463
1998-12-10,0.8484
2009-03-31,0.7532
1992-05-14,0.772
2016-05-18,0.8867
2011-07-01,0.6905
1988-05-04,0.8066
1995-03-20,0.7528
1982-12-31,1.025
1999-08-05,0.9258
2017-07-27,
1975-05-27,0.7255
1990-08-16,0.7428
1979-02-15,0.7027
1979-10-30,0.692
1978-01-17,0.7847
1991-05-24,0.8161
2003-06-10,0.8559
1989-06-07,0.9396
1980-01-11,0.6619
2005-10-11,0.8338
2010-10-29,0.7195
1997-06-23,0.8788
2001-11-07,1.1116
2009-03-17,0.7709
1991-12-18,
1982-03-09,0.9643
1991-01-29,0.7111
1977-05-27,0.8264
1997-03-21,0.862
2013-02-04,0.7376
1978-08-15,0.7205
2001-05-29,1.1708
2009-03-17,0.7709
1996-07-30,0.7623
1988-02-24,0.8114
1985-03-26,1.4413
1993-05-27,0.8123
2015-01-07,0.8472
1984-06-28,1.2485
2010-08-06,0.7522
2016-04-18,0.8827
1990-05-08,0.7894
1994-08-03,0.8106
2001-05-18,1.1405
2001-06-18,1.161
1993-12-07,0.8739
1975-09-05,0.796
1995-11-09,0.7427
1987-01-12,0.9011
2006-08-14,0.7847
1976-12-01,0.8321
2002-01-23,
1977-11-04,0.8164
1983-09-28,1.1746
2013-11-26,0.7374
1975-03-11,0.7289
2000-07-14,1.0668
2015-09-29,0.8914
2012-12-17,0.7598
1977-03-22,0.8325
2013-07-12,0.7661
1999-06-30,0.9693
2016-05-04,0.8701
2014-06-24,0.7355
2000-10-18,1.1794
2010-05-19,0.8104
2005-08-04,0.8085
1983-01-18,1.0298
1990-02-28,0.8103
1976-01-07,0.804
2005-12-16,0.8331
1994-02-07,0.8963
2009-01-26,0.7614
1981-03-25,0.8158
1983-12-22,1.2352
2001-11-02,1.1064
2014-11-04,0.7955
1990-03-16,0.8107
2004-12-24,0.7388
2016-12-12,0.9426
1984-07-04,1.2623
1980-07-15,0.6733
1992-08-26,0.68
2010-10-08,0.7177
2008-10-08,0.733
1983-01-07,1.009
2015-01-29,0.8821
1980-07-01,0.6782
1988-02-17,0.8178
1979-06-11,0.7225
2011-11-29,0.75
2010-09-03,0.7774
1990-05-30,0.7983
2015-01-19,0.8597
2001-07-18,1.1477
1996-11-04,0.7753
2014-01-03,0.7346
2007-06-04,0.7416
1984-05-24,1.2364
2014-09-08,0.7723
1983-05-23,1.0981
1997-12-12,0.9042
1980-08-08,0.685
1991-03-11,
1979-10-05,0.6757
1981-06-05,0.9434
1982-12-16,1.0431
2008-04-16,0.627
1986-09-10,0.9691
1997-12-01,0.9059
2006-09-29,0.7895
2006-02-13,0.8399
1989-10-30,0.8781
1978-12-11,0.7184
1987-06-09,0.8589
2000-11-03,1.1583
1996-05-30,0.7866
2012-01-19,0.7757
1978-01-06,0.7839
1975-12-04,0.807
1995-04-10,
1981-07-01,
2006-06-27,0.7939
1984-07-11,1.2715
1983-06-01,1.1222
1987-07-21,0.8872
1975-09-19,0.8131
1990-01-19,
1982-06-09,0.993
1977-07-26,0.8129
1995-01-10,0.7989
1988-03-21,0.8109
1975-02-25,0.7304
2009-11-25,0.6642
1976-05-25,0.8504
1977-07-05,0.8174
2012-08-21,0.8012
2000-05-12,1.1034
1989-12-19,0.8324
2008-01-09,0.6817
1977-03-25,0.8327
1976-05-17,0.852
2005-10-17,0.8313
1997-02-28,0.8641
1988-10-05,0.8951
1992-02-19,0.7882
2010-03-17,0.7279
1981-09-08,0.9497
2007-06-14,0.7511
1999-04-27,0.9392
2000-11-16,1.1705
2003-01-09,0.9542
1990-07-25,0.7706
1986-09-26,0.9624
2005-07-06,0.8384
2000-08-07,1.1008
2012-04-12,0.759
1983-05-05,1.0782
2001-05-23,1.1617
2017-09-06,0.8375
1976-09-22,0.8367
1975-12-11,0.81
2007-06-29,0.7405
2004-07-05,0.8149
2011-03-03,0.7174
1999-11-03,0.9542
2015-04-23,0.9258
2016-06-14,0.892
1992-12-16,0.7756
2005-06-08,0.8111
1986-01-31,1.0991
1989-11-28,0.8602
2000-08-25,1.1047
2003-04-24,0.9076
2017-02-14,0.9467
1979-10-24,0.6893
2016-08-26,0.8866
2000-06-30,1.0432
1994-11-21,0.8036
1999-11-05,0.9606
2017-07-26,0.8598
2004-12-13,0.752
1987-05-08,0.8559
2005-11-09,0.8522
2007-07-27,0.7323
2014-12-10,0.8053
1987-01-27,0.8655
1996-02-13,
1994-01-13,0.8943
1979-11-15,0.6848
2001-11-20,1.1328
1982-06-15,1.0136
2013-06-03,0.7675
1983-09-29,1.1774
2000-07-25,1.0622
2009-10-16,0.6722
1998-08-12,0.9066
1993-05-13,0.812
2016-10-10,0.8963
1998-04-08,0.932
2016-06-06,0.8798
2003-05-14,0.8701
2004-05-04,0.8274
2012-04-16,0.7656
2013-02-27,0.7628
2005-01-28,0.7687
2014-09-30,0.7916
1981-01-07,0.7463
2011-01-17,0.7526
2001-02-08,1.0889
1979-01-17,0.6995
1998-02-06,0.9163
2012-08-06,0.8055
1999-10-21,0.9251
1997-03-19,0.8612
1999-12-30,0.9975
1990-05-31,0.8075
2001-07-16,
1978-12-20,0.6966
1988-08-12,0.9002
2005-08-12,0.8043
1988-01-27,0.8016
2008-03-13,0.6417
1992-11-05,0.7805
1992-02-12,0.7717
2009-03-25,0.7387
1993-09-01,0.8536
1977-12-13,0.7939
1997-12-11,0.9041
1980-10-30,0.726
1979-03-16,0.7062
1984-06-19,1.2364
1993-04-02,0.8125
1978-06-19,0.7718
1992-02-11,0.7625
2010-09-15,0.7675
2016-07-04,0.8978
2000-10-16,1.1786
1986-06-05,1.0445
1999-03-29,0.9333
2002-04-30,1.1096
1998-08-21,0.9184
1975-08-13,0.7946
2007-11-23,0.6757
1990-10-09,0.7286
2014-04-11,0.7201
1978-03-21,0.7634
1992-11-18,0.7844
1979-04-27,0.7135
2012-07-26,0.8129
1978-10-05,0.7107
1985-02-13,1.4736
2005-10-10,0.8302
2017-08-30,0.8395
2011-12-23,0.7653
2008-06-06,0.6355
2017-09-06,0.8375
1976-08-12,0.8533
2002-07-12,1.0108
2012-10-15,0.7731
2014-05-28,0.7356
2017-06-01,0.8908
2008-07-07,0.6384
2010-03-19,0.7392
2017-10-23,0.8514
1979-10-22,0.6892
1986-12-30,0.9225
1978-04-03,0.75
2003-04-04,0.935
1976-12-20,0.8231
1996-11-12,0.7688
2007-03-23,0.7518
2011-07-18,0.713
2005-06-07,0.815
1996-09-09,0.7671
2002-07-15,0.9938
1980-09-04,0.6843
1981-06-24,0.923
1982-11-29,1.0639
1996-10-14,0.783
2007-09-03,0.7348
1975-10-07,0.8052
1987-02-24,0.8742
2011-09-21,0.7304
1981-11-27,0.8917
1998-04-08,0.932
1983-07-21,1.1397
2015-11-19,0.9314
2007-02-20,
2016-06-24,0.8996
1982-08-26,1.0229
2007-12-20,0.6972
2010-07-15,0.7756
2006-07-20,0.7906
2001-04-09,1.1089
1976-07-22,0.8568
2003-10-21,0.8557
1990-02-05,0.8019
1989-08-29,0.9226
1975-11-10,0.7942
2012-07-23,0.8253
1980-03-03,0.6836
1984-10-16,1.4011
1991-09-06,0.8308
1997-02-24,
1982-06-29,1.0385
1992-03-30,0.7923
1999-05-05,0.9367
1988-12-16,0.8457
1980-04-24,0.6978
1997-11-28,0.899
2007-01-10,0.7724
2000-03-24,1.0292
1978-07-31,0.7499
2001-01-24,1.0837
1987-06-15,0.8723
1986-11-28,0.9324
2005-12-22,0.8429
2013-11-15,0.7422
1982-05-17,0.9488
1989-08-31,0.9295
2010-10-12,0.7229
1994-05-18,0.8464
2007-11-23,0.6757
1977-02-09,0.8337
1979-11-09,0.6881
1977-11-17,0.8152
2005-03-29,0.7743
1985-12-13,1.1559
1994-11-16,
2012-05-28,0.7975
2016-05-11,0.8747
1993-04-06,0.8171
1999-01-20,0.8643
1995-02-27,0.7723
2000-02-15,1.0169
2002-03-28,1.1463
1984-08-02,1.2957
2006-12-28,0.7607
1975-08-11,
2002-11-29,1.0053
2016-10-20,0.9152
1986-05-23,1.0584
2013-12-05,0.7322
1976-01-15,0.8066
2007-08-06,0.7248
2011-07-22,0.6961
2009-10-29,0.6748
2015-01-16,0.8701
1988-11-28,0.8329
2006-05-15,0.7793
2003-04-07,0.9409
1984-09-25,1.3729
1990-01-03,0.8267
1995-11-20,0.7411
2013-01-03,0.7637
2014-09-29,0.7883
1978-02-01,0.7804
2009-06-17,0.7212
2015-07-29,0.9066
1975-01-07,0.751
2008-04-29,0.6407
2008-01-21,0.6907
1983-11-29,1.2118
1984-11-23,1.3548
2017-09-21,0.8387
1997-08-11,0.9453
1995-03-21,0.7564
1984-02-20,1.2059
2000-02-01,1.0281
1999-03-18,0.9101
2001-07-25,1.1377
1979-07-13,0.6957
2011-03-17,0.7133
1989-08-14,0.9236
1995-01-20,0.7852
1980-07-03,0.6772
2014-12-30,0.822
1978-10-19,0.6954
1976-01-30,0.8178
1988-08-17,0.9149
2008-01-30,0.6763
1997-12-17,
2000-11-16,1.1705
1997-08-18,0.9295
1995-12-05,0.7519
1987-05-08,0.8559
2011-04-01,0.707
2005-11-07,0.848
1988-03-04,0.8116
2008-03-26,
1996-05-07,0.7819
1981-05-11,0.8916
2015-06-04,0.8863
1992-11-20,0.7893
2012-02-29,0.7476
2011-10-12,0.7249
1994-01-05,0.8887
1979-09-05,0.6919
2000-01-06,0.9662
1999-06-29,0.9676
2016-11-16,0.937
2014-08-15,0.7472
1977-01-17,0.8315
2011-03-08,0.7195
2015-01-26,0.8884
1975-02-04,0.7518
1980-08-07,0.6844
2007-03-09,0.7625
1983-09-22,1.1894
1979-07-30,0.6942
1985-08-14,
1996-04-04,0.7656
1983-06-07,1.1304
2016-11-16,0.937
2008-09-09,0.7075
2005-07-27,0.8307
2001-10-18,1.1077
1976-09-22,0.8367
2012-08-28,0.7957
1997-06-19,0.8802
2011-05-03,0.6738
1994-07-25,0.8131
1978-05-26,0.7822
2000-09-14,1.1608
2010-12-06,0.7526
1978-10-26,0.6709
2011-08-08,0.7048
1999-04-09,0.9279
1994-09-07,0.7987
2012-05-21,0.7832
1981-11-19,0.8986
1996-02-21,0.756
1993-08-19,0.8648
2010-07-07,0.7917
1988-09-15,0.9025
1999-12-17,0.9906
1983-02-23,1.0449
2011-01-06,0.7671
2014-09-01,0.7612
1992-10-20,0.7532
1993-03-11,0.8398
2013-11-14,0.743
2016-06-15,0.89
2010-10-07,0.7173
1996-09-13,
2010-03-22,
1975-04-01,0.7351
1996-04-17,0.7779
1989-08-24,0.9313
2005-07-15,0.8305
1997-12-30,0.9137
1993-08-06,0.8737
2003-11-17,0.8483
2011-08-04,0.7063
1991-07-29,0.8365
2013-07-16,0.7612
1986-10-24,0.9579
2008-07-30,0.6427
2010-02-26,0.7327
2007-08-10,0.7311
1999-06-11,0.9527
1975-07-31,0.7913
2008-10-08,0.733
2007-09-19,0.7164
2013-01-04,0.7666
1991-02-27,0.728
1981-06-08,0.9374
2000-08-09,1.1141
1995-07-27,0.7304
2008-08-22,0.675
1986-05-14,1.0171
1983-09-15,1.1884
1999-08-25,0.9565
1983-06-17,1.1244
2009-06-29,0.7113
1995-08-15,
1979-01-03,0.7013
2012-08-09,0.8124
2010-01-29,0.7194
2010-02-04,0.7256
1982-03-03,0.965
2011-08-05,0.7046
2008-06-24,0.6413
1988-03-14,0.7995
1987-06-16,0.8711
2000-07-13,1.0694
2006-04-28,0.7939
2015-11-12,0.9299
1984-10-23,
2004-11-10,0.7743
2016-03-01,0.9208
1988-05-12,0.8066
2007-02-09,0.7694
1980-04-09,0.7227
1988-05-06,0.8071
2006-04-05,0.815
1984-07-05,1.2668
1989-01-25,0.8802
2009-03-05,0.7969
1989-04-03,
1989-06-06,0.9449
1993-10-08,0.8304
1988-07-21,0.8827
2013-11-11,0.7458
1997-05-14,0.8683
2000-11-23,1.1874
2015-10-20,0.8817
1996-01-30,0.7744
2010-05-04,0.7673
1983-06-13,1.1228
2005-10-31,0.8348
2001-04-12,1.1193
2016-12-12,0.9426
1994-10-28,0.7769
1993-11-08,
1982-10-14,1.0647
1988-12-08,0.8359
1995-02-09,0.7952
2013-03-27,
1997-09-04,0.9266
2002-02-05,1.1517
1975-10-16,0.7943
2015-09-07,0.8959
2012-05-04,0.7626
1989-05-17,0.9394
1981-10-28,0.9181
2011-03-24,0.7043
2017-03-16,0.9314
1975-04-14,0.7471
1991-06-25,0.8588
1985-01-08,1.4069
1981-02-13,0.8434
2007-12-10,0.6796
1999-05-11,0.9324
1996-03-08,0.7685
2003-12-18,0.8081
1977-12-13,0.7939
2000-01-07,0.9717
1995-07-05,0.7329
1998-05-20,0.9041
2006-09-19,0.7872
1977-12-22,0.7923
1976-12-31,0.8216
2010-05-14,0.8048
2013-08-28,0.7497
1978-11-29,0.7246
2014-10-07,
2011-12-20,0.7625
2007-05-08,0.7392
2017-06-23,0.8929
1984-05-01,1.2218
1986-01-13,1.1406
1985-10-23,1.2051
1978-06-20,0.7694
1976-10-26,0.833
1997-04-21,0.8707
1981-10-28,0.9181
2013-02-07,0.7468
1999-11-09,0.9613
2008-04-03,0.6396
2010-04-08,0.7487
1979-11-02,0.6881
2011-07-06,0.6991
2014-05-19,0.729
2002-05-23,1.0857
1992-09-01,0.6725
1995-04-26,0.7408
1999-11-04,0.9577
1990-10-01,0.7403
1976-12-10,0.8284
1982-11-12,1.0997
1982-06-10,0.9946
1993-04-28,0.7966
1989-07-28,0.8973
1991-07-24,
2000-08-24,1.1079
1991-10-21,0.8094
2000-11-09,1.1641
1993-05-10,0.8032
1998-10-02,0.8366
1996-12-19,
1989-06-05,0.9335
2003-11-18,0.8407
2006-08-09,0.7762
2007-05-11,0.7395
1999-03-19,0.9152
1992-07-08,0.7166
1981-01-16,0.7749
1999-02-05,0.8861
2013-10-16,0.7412
1986-03-11,1.0417
1978-12-07,0.7243
1981-03-06,0.8298
2009-05-01,0.7547
2015-06-08,0.8923
2001-07-30,1.1427
1975-01-17,0.7537
2008-12-22,0.7182
2009-02-03,0.7711
1994-12-08,0.8145
2016-02-26,0.9152
1982-02-12,0.9578
1975-12-08,0.8081
2004-07-22,0.8149
2017-04-27,0.9204
2015-01-28,0.8818
2002-04-19,1.125
2015-02-04,0.8753
2009-07-28,0.7053
2016-06-23,0.8811
1993-09-24,0.8455
2013-09-23,0.7412
2017-06-12,0.8926
1981-09-09,0.9501
1983-02-21,1.0325
2000-07-21,1.0725
2015-12-30,0.9163
1994-01-20,0.8876
1976-04-23,0.8473
1981-11-16,0.8975
2007-11-27,
2012-04-04,0.7624
1977-06-15,0.8263
1982-11-30,1.0595
2005-09-08,
1978-05-09,0.776
1982-05-11,0.9428
2016-01-25,0.923
2010-06-29,0.8211
2000-10-02,1.1346
2008-02-18,0.6825
1981-03-19,0.7969
1997-11-26,0.8969
2009-07-16,0.7086
2013-03-12,0.768
1998-12-21,
2004-02-13,0.7821
1997-07-09,0.8985
2010-07-22,0.7747
1993-06-21,0.8453
1987-12-10,0.7887
1988-10-18,0.8699
2004-05-26,0.8269
1989-07-14,0.9045
1976-11-02,0.8319
2000-06-29,
1992-02-10,0.754
1978-08-29,0.7398
1990-04-27,0.8
2003-03-06,
1982-01-11,
1996-06-10,0.7884
1979-03-28,0.7051
1998-12-18,0.8509
2016-11-09,0.9134
1992-08-13,0.7021
1992-05-20,0.7656
1993-01-11,0.8127
1979-01-24,0.6994
1996-02-19,0.7532
1980-01-04,0.661
1989-11-22,0.8714
1994-06-15,0.836
1997-12-29,0.9103
2007-03-07,0.7607
2010-06-14,0.8145
2016-06-15,0.89
1984-08-01,1.3022
1983-03-21,1.0661
2009-03-09,0.7915
1994-03-09,0.8741
1987-09-14,0.8665
1994-01-10,0.8874
1986-09-29,0.9531
1999-07-22,0.9527
1993-02-23,0.8196
1992-07-09,0.723
2007-07-10,0.7289
2001-04-12,1.1193
2012-11-15,
1997-08-11,0.9453
1984-09-11,1.3411
2000-05-31,1.0783
1988-08-31,0.9021
1984-09-17,1.3726
1987-01-22,0.8667
1975-04-28,0.7435
1981-10-27,0.9223
1989-02-06,0.8962
1992-07-24,0.7209
1992-03-23,0.7987
1985-10-30,1.1962
2008-09-12,0.7054
1994-06-02,0.8434
1983-04-20,1.0836
2003-10-22,0.8485
2012-11-01,0.7729
1979-03-09,0.7032
2005-01-13,0.7576
2010-05-13,0.7958
1982-05-24,0.9497
2002-04-04,1.1333
2004-06-03,0.8167
1985-11-22,1.1764
2003-03-05,0.911
1980-12-10,
1978-04-14,0.7548
2014-11-03,0.801
1994-10-13,0.7933
1991-11-28,0.7779
1995-04-07,0.738
1986-05-27,1.0583
2010-12-17,0.7605
1983-08-11,1.2088
2007-01-03,0.7579
2012-06-15,0.7921
2005-07-26,0.8317
1976-10-08,0.8328
1980-01-14,0.6618
2013-06-04,0.7651
1992-01-20,0.7663
1997-01-29,0.8385
1996-12-23,0.7931
1979-02-13,0.7044
2013-04-03,0.7783
1976-08-11,0.8523
2005-03-07,0.7582
1979-09-20,0.6763
2008-08-11,0.6667
2006-11-01,0.7828
2015-04-20,0.9299
1983-02-15,1.0332
